analysis,treated_repo,treated_pr_number,treated_outcome,treated_ps,control_repo,control_pr_number,control_outcome,control_ps,ps_distance
specs → SZZ bugs,microsoft/vscode,303080,False,0.035456086060379026,oxc-project/oxc,17143,False,0.03545740573048719,3.858733600159425e-05
specs → SZZ bugs,langchain-ai/langchain,36168,False,0.03560675176902071,ray-project/ray,60233,False,0.0356090089758753,6.573120370756413e-05
specs → SZZ bugs,microsoft/vscode,302267,False,0.035849953056316344,vllm-project/vllm,38102,False,0.03585111638259223,3.3655925308906376e-05
specs → SZZ bugs,microsoft/vscode,302433,False,0.036001408465856935,vercel/ai,11737,False,0.0360006491251602,2.1879893025822383e-05
specs → SZZ bugs,apache/arrow,48849,False,0.03685410025985518,pydantic/pydantic,11832,True,0.03685396223098474,3.88859598121627e-06
specs → SZZ bugs,microsoft/vscode,291261,False,0.03691128246178508,zephyrproject-rtos/zephyr,105594,False,0.03691542480239376,0.00011651905194343115
specs → SZZ bugs,microsoft/vscode,291683,False,0.03700517066443724,astral-sh/uv,18439,False,0.03700103435383649,0.00011607805345503763
specs → SZZ bugs,apache/arrow,47780,False,0.03700624380220412,oxc-project/oxc,19104,True,0.03701240781838614,0.00017295396234162652
specs → SZZ bugs,microsoft/vscode,291262,True,0.037071605308844666,home-assistant/core,167038,False,0.03707669450878279,0.0001425559887193728
specs → SZZ bugs,n8n-io/n8n,25042,False,0.03709922274785653,stanfordnlp/dspy,8401,False,0.03709895624133049,7.460415226034911e-06
specs → SZZ bugs,microsoft/vscode,291595,False,0.03713015156034387,zephyrproject-rtos/zephyr,101256,False,0.03713213717605402,5.553793484569525e-05
specs → SZZ bugs,microsoft/vscode,290532,False,0.03721029877891176,ray-project/ray,56833,False,0.037217020327272365,0.00018760181187849057
specs → SZZ bugs,denoland/deno,32776,False,0.03721636805987181,oxc-project/oxc,17351,True,0.03722638038968283,0.0002793935050711127
specs → SZZ bugs,vercel/next.js,88274,False,0.03724919051182955,oxc-project/oxc,20323,False,0.03724475152508376,0.0001237878426199046
specs → SZZ bugs,microsoft/vscode,292472,False,0.03735812861548087,oxc-project/oxc,17777,False,0.03735838265612736,7.064020144387229e-06
specs → SZZ bugs,vercel/next.js,88497,False,0.03737392298642399,pnpm/pnpm,10474,True,0.03737553823206184,4.489554500075599e-05
specs → SZZ bugs,promptfoo/promptfoo,6846,False,0.03751843353851673,astral-sh/uv,17111,False,0.03751163199889804,0.00018836835625579695
specs → SZZ bugs,kubernetes/kubernetes,137131,False,0.037586569753147905,oxc-project/oxc,20725,False,0.03756831461595008,0.0005047683320649199
specs → SZZ bugs,microsoft/vscode,291529,False,0.03796287047870866,langchain-ai/langchain,36086,False,0.03796042183710717,6.704830458614808e-05
specs → SZZ bugs,microsoft/vscode,291671,False,0.038032713535178043,oxc-project/oxc,17571,False,0.03803098464018551,4.725638345481897e-05
specs → SZZ bugs,continuedev/continue,8310,False,0.03806840767448094,vitejs/vite,19810,False,0.03806908178521705,1.8408510562561986e-05
specs → SZZ bugs,continuedev/continue,9002,False,0.038309156972432895,oxc-project/oxc,20751,False,0.038305351710202135,0.00010329212820980871
specs → SZZ bugs,microsoft/vscode,301543,False,0.03860487155467928,oxc-project/oxc,15602,True,0.03861242939284785,0.00020361640157418037
specs → SZZ bugs,apache/arrow,48892,False,0.03875075461243326,dagster-io/dagster,31948,False,0.038736034923161695,0.00039524068062224416
specs → SZZ bugs,microsoft/vscode,293366,False,0.03878751617687828,antiwork/gumroad,3927,False,0.038790291363399586,7.443306386001325e-05
specs → SZZ bugs,apache/arrow,48760,False,0.03889974567434563,chroma-core/chroma,5448,False,0.03890700583411544,0.00019417434083379703
specs → SZZ bugs,continuedev/continue,8513,False,0.03900339543459623,vllm-project/vllm,38165,False,0.039002929691730304,1.2425802018878329e-05
specs → SZZ bugs,continuedev/continue,8226,False,0.03900969248088991,prefecthq/prefect,21263,False,0.03900900297601072,1.8392869605143858e-05
specs → SZZ bugs,mlflow/mlflow,21678,False,0.03905504353776904,oxc-project/oxc,18634,False,0.03905238654280078,7.079934941778276e-05
specs → SZZ bugs,antiwork/gumroad,3902,False,0.03908253393722819,astral-sh/uv,12672,False,0.039080423552401794,5.6195831742211766e-05
specs → SZZ bugs,apache/arrow,49239,False,0.03913244971644004,zephyrproject-rtos/zephyr,106329,False,0.03913809737999011,0.00015018902320429461
specs → SZZ bugs,continuedev/continue,8871,False,0.03922198563135232,danny-avila/LibreChat,12339,False,0.03922434949315329,6.272734375478706e-05
specs → SZZ bugs,microsoft/vscode,291696,False,0.039327095273528026,astral-sh/uv,15166,False,0.039330964582148645,0.00010241073182948313
specs → SZZ bugs,kubernetes/kubernetes,136247,False,0.03943091739461143,oxc-project/oxc,20723,False,0.03942679599405529,0.00010881809175478097
specs → SZZ bugs,microsoft/vscode,293009,False,0.039536748375878984,zephyrproject-rtos/zephyr,105331,False,0.03953654747138482,5.290649710776307e-06
specs → SZZ bugs,continuedev/continue,8497,False,0.03958514107387595,continuedev/continue,8377,False,0.039589206437204254,0.00010692688545299589
specs → SZZ bugs,mendableai/firecrawl,3220,False,0.03982480493392234,langchain-ai/langchain,35325,False,0.03983040091561022,0.00014633321015367073
specs → SZZ bugs,promptfoo/promptfoo,7220,False,0.03982974980062314,oxc-project/oxc,19859,False,0.03983535717006137,0.00014661352834099972
specs → SZZ bugs,microsoft/vscode,291443,False,0.03988353389156403,astral-sh/uv,14240,False,0.0398826153954086,2.3986373161921648e-05
specs → SZZ bugs,mendableai/firecrawl,2233,True,0.040049219672519454,oxc-project/oxc,18490,True,0.040053635824118854,0.00011486243126501705
specs → SZZ bugs,lobehub/lobe-chat,12744,False,0.04038871442391571,n8n-io/n8n,25068,False,0.04038880613619394,2.366309966639335e-06
specs → SZZ bugs,microsoft/vscode,291725,False,0.04044677742491256,bevyengine/bevy,20343,False,0.0404415568933226,0.00013452053387030816
specs → SZZ bugs,apache/arrow,48558,False,0.04065273038123826,home-assistant/core,167151,False,0.04065263986220463,2.3209982251692907e-06
specs → SZZ bugs,microsoft/vscode,293037,False,0.0406546174748811,temporalio/temporal,9656,False,0.04065455747956913,1.5382706513022981e-06
specs → SZZ bugs,denoland/deno,32729,False,0.0407442732510859,ray-project/ray,58579,False,0.04074455815323948,7.289425501877389e-06
specs → SZZ bugs,continuedev/continue,8524,False,0.04088866183764504,zephyrproject-rtos/zephyr,104764,False,0.04088957254610592,2.322217098393864e-05
specs → SZZ bugs,vercel/next.js,86768,False,0.04092448802741546,continuedev/continue,8323,False,0.04092313052437787,3.4586900811817145e-05
specs → SZZ bugs,microsoft/vscode,290143,False,0.040961387796765454,traefik/traefik,12436,False,0.04095785731353288,8.987549914518667e-05
specs → SZZ bugs,antiwork/gumroad,3823,False,0.0409668451815736,continuedev/continue,8781,False,0.04097034868065131,8.916986083029599e-05
specs → SZZ bugs,langchain-ai/langchain,34621,False,0.04109070718555263,vitejs/vite,20498,False,0.0410896525700111,2.6765684748575325e-05
specs → SZZ bugs,microsoft/vscode,301531,False,0.04110624393691849,danny-avila/LibreChat,10447,False,0.0411074527025076,3.066603949530844e-05
specs → SZZ bugs,vercel/next.js,91346,False,0.04122497627891932,zephyrproject-rtos/zephyr,105059,False,0.04122558341471058,1.5360510472905986e-05
specs → SZZ bugs,microsoft/vscode,303267,False,0.041229435905540436,prefecthq/prefect,20870,False,0.0412295161253296,2.029359678079601e-06
specs → SZZ bugs,denoland/deno,32743,False,0.041368346773133134,bevyengine/bevy,23165,False,0.04137241616496774,0.00010260987086363471
specs → SZZ bugs,microsoft/vscode,291325,False,0.04138975289825913,fastapi/fastapi,14538,False,0.04138707707221946,6.74429266060983e-05
specs → SZZ bugs,calcom/cal.com,25950,False,0.04141468207956336,home-assistant/core,166990,False,0.04141722988456709,6.41753580250537e-05
specs → SZZ bugs,continuedev/continue,8991,False,0.04143100018988806,zephyrproject-rtos/zephyr,100215,False,0.041429915785707865,2.7305354763917933e-05
specs → SZZ bugs,astral-sh/ruff,23892,False,0.04188863735765921,chroma-core/chroma,5384,False,0.04189055947260843,4.789140790517621e-05
specs → SZZ bugs,microsoft/vscode,291523,False,0.04223088931156789,BerriAI/litellm,19753,False,0.04222958253169319,3.230857527514175e-05
specs → SZZ bugs,continuedev/continue,8179,False,0.042245863997158115,danny-avila/LibreChat,12004,False,0.042246137597471034,6.762028747608895e-06
specs → SZZ bugs,denoland/deno,32843,False,0.04228458680165019,zephyrproject-rtos/zephyr,105097,False,0.042286370613487875,4.404754599596217e-05
specs → SZZ bugs,microsoft/vscode,302832,False,0.04242975794886807,vitejs/vite,20643,False,0.04243095134077921,2.9372171648223144e-05
specs → SZZ bugs,microsoft/vscode,290596,False,0.042538178961613354,prefecthq/prefect,20088,False,0.04253410893790123,9.993472788583091e-05
specs → SZZ bugs,microsoft/vscode,302489,False,0.04261801690344707,home-assistant/core,167028,False,0.04261662312289217,3.416038047854286e-05
specs → SZZ bugs,microsoft/vscode,290192,False,0.042771143562002435,continuedev/continue,9018,False,0.04276990032414653,3.036642117226762e-05
specs → SZZ bugs,denoland/deno,32386,False,0.04297615955217815,chroma-core/chroma,4147,False,0.04297389762306845,5.4997069099282925e-05
specs → SZZ bugs,astral-sh/ruff,22944,False,0.043195803088778864,zephyrproject-rtos/zephyr,103942,False,0.0431994767626712,8.888292623510097e-05
specs → SZZ bugs,astral-sh/ruff,23011,False,0.04322043182658922,oxc-project/oxc,19534,True,0.04321670831609153,9.004704211035275e-05
specs → SZZ bugs,apache/arrow,48902,False,0.043333140657000044,bevyengine/bevy,20973,False,0.043338520001627696,0.00012975459250297305
specs → SZZ bugs,microsoft/vscode,302221,False,0.04333851317377746,PowerShell/PowerShell,25272,False,0.043345620923861045,0.00017142172191375593
specs → SZZ bugs,promptfoo/promptfoo,6640,False,0.04341543105930674,zephyrproject-rtos/zephyr,99301,False,0.043413216304978144,5.332963923931899e-05
specs → SZZ bugs,elastic/elasticsearch,144750,False,0.04395038599175356,chroma-core/chroma,5765,False,0.0439508438343882,1.0896096726220605e-05
specs → SZZ bugs,kubernetes/kubernetes,136820,False,0.04398194441476972,prometheus/prometheus,17772,False,0.04398599822177323,9.64058650430033e-05
specs → SZZ bugs,kubernetes/kubernetes,137442,False,0.04431088996081879,stripe/stripe-ios,5623,False,0.04431220232012506,3.0989852722651534e-05
specs → SZZ bugs,microsoft/vscode,290348,False,0.04438760128795907,ray-project/ray,57663,False,0.044391298139022026,8.715077579202202e-05
specs → SZZ bugs,facebook/react,35234,False,0.044401812616607396,prefecthq/prefect,20532,False,0.04441021546729336,0.00019802109052990957
specs → SZZ bugs,microsoft/vscode,304177,False,0.04441870594971065,ray-project/ray,58535,True,0.04441864849087162,1.3537035656874252e-06
specs → SZZ bugs,continuedev/continue,8859,False,0.04446871089211163,oxc-project/oxc,18443,False,0.044469197159807086,1.1443890726159367e-05
specs → SZZ bugs,continuedev/continue,8684,False,0.04447216111401614,astral-sh/ruff,23633,False,0.044470824435477924,3.145586404551537e-05
specs → SZZ bugs,microsoft/vscode,302855,False,0.04480788196677137,stripe/stripe-ios,5804,False,0.0448096199453446,4.060609672817961e-05
specs → SZZ bugs,django/django,20573,False,0.04497622729773837,ray-project/ray,56975,False,0.044976477641377834,5.8282504320494866e-06
specs → SZZ bugs,continuedev/continue,8927,False,0.04507711974984088,zephyrproject-rtos/zephyr,104972,False,0.0450770289170249,2.1101762821551517e-06
specs → SZZ bugs,elastic/elasticsearch,144584,False,0.045201922725608024,oxc-project/oxc,19225,False,0.04520212666893349,4.725416777429103e-06
specs → SZZ bugs,PostHog/posthog,48203,False,0.04525289890914365,facebook/react,34591,False,0.04525452236966456,3.757504914680965e-05
specs → SZZ bugs,microsoft/vscode,302067,False,0.045312249212080616,zephyrproject-rtos/zephyr,102327,False,0.04531380076595348,3.586598864879775e-05
specs → SZZ bugs,kubernetes/kubernetes,135281,False,0.04534433814656711,zephyrproject-rtos/zephyr,105462,False,0.04534690889148686,5.938509294045602e-05
specs → SZZ bugs,apache/arrow,49041,False,0.04538145960558922,promptfoo/promptfoo,7511,False,0.04538877107450326,0.00016875746521405333
specs → SZZ bugs,pingcap/tidb,66275,False,0.04547106179431971,oxc-project/oxc,15698,False,0.04547249576434295,3.3037665836843644e-05
specs → SZZ bugs,prometheus/prometheus,16834,False,0.045618898996363524,ray-project/ray,59746,False,0.04561780438574256,2.514189388191923e-05
specs → SZZ bugs,dotnet/aspire,15520,False,0.04569523653948772,ray-project/ray,61770,False,0.04569707278047226,4.2107877142871786e-05
specs → SZZ bugs,dotnet/aspire,15194,False,0.04592308158148182,dagster-io/dagster,32264,False,0.045923295314523944,4.878162834565103e-06
specs → SZZ bugs,n8n-io/n8n,25812,False,0.0460836688865865,facebook/react,35093,False,0.04608624017795934,5.8490109009046165e-05
specs → SZZ bugs,denoland/deno,32735,False,0.046112885263007476,prometheus/prometheus,17392,False,0.04611643742731971,8.075284829445195e-05
specs → SZZ bugs,kubernetes/kubernetes,136128,False,0.04646095818419335,oxc-project/oxc,18288,True,0.046461756241555095,1.8013741166722497e-05
specs → SZZ bugs,microsoft/vscode,304790,False,0.046478834571050134,fastapi/fastapi,14830,False,0.04647727526400049,3.518463134266625e-05
specs → SZZ bugs,continuedev/continue,8494,False,0.0464812453602135,dagster-io/dagster,32207,False,0.046476960598316276,9.668046720978651e-05
specs → SZZ bugs,apache/arrow,48324,False,0.04661129275989758,ollama/ollama,14830,False,0.046611152097909246,3.165309809816108e-06
specs → SZZ bugs,apache/arrow,48573,False,0.0467233705042183,oxc-project/oxc,18462,False,0.04672594705016325,5.784600805780471e-05
specs → SZZ bugs,denoland/deno,32506,False,0.04685942613831842,open-webui/open-webui,19696,False,0.04685897185013534,1.0171371547240682e-05
specs → SZZ bugs,apache/arrow,48443,False,0.04704337215714233,BerriAI/litellm,18680,False,0.04704310049498635,6.059806476610419e-06
specs → SZZ bugs,microsoft/vscode,301266,True,0.04712960166897731,bevyengine/bevy,21104,False,0.04712122194259471,0.00018661172861333952
specs → SZZ bugs,lobehub/lobe-chat,12737,True,0.04723008794990935,calcom/cal.com,26365,False,0.047230222009137054,2.9791292059933028e-06
specs → SZZ bugs,continuedev/continue,8546,False,0.04728172991951363,ggerganov/llama.cpp,20538,False,0.047281288736076725,9.794071578639318e-06
specs → SZZ bugs,antiwork/gumroad,3892,False,0.047414397161536795,rails/rails,57008,False,0.04741661656493593,4.913741912204728e-05
specs → SZZ bugs,PostHog/posthog,52095,False,0.047437851164127624,zephyrproject-rtos/zephyr,102288,False,0.04743774593920364,2.328631402814807e-06
specs → SZZ bugs,denoland/deno,32602,False,0.047470164426497506,mendableai/firecrawl,2827,False,0.047459186514568125,0.00024281087723432293
specs → SZZ bugs,microsoft/vscode,291243,False,0.04749724338008724,astral-sh/ruff,22348,False,0.04750119577355878,8.735914184931914e-05
specs → SZZ bugs,pnpm/pnpm,10827,False,0.04750263389809039,prefecthq/prefect,18888,False,0.04751237983578,0.0002153772515041119
specs → SZZ bugs,mendableai/firecrawl,2785,True,0.04757932517421319,prefecthq/prefect,21069,False,0.04757527480515264,8.938508700051528e-05
specs → SZZ bugs,microsoft/vscode,300522,False,0.0476255873879437,zephyrproject-rtos/zephyr,98928,False,0.04762438990597264,2.640134830356189e-05
specs → SZZ bugs,continuedev/continue,8421,False,0.04772928040742609,ray-project/ray,60830,False,0.047731220858413484,4.269224317177134e-05
specs → SZZ bugs,antiwork/gumroad,3813,False,0.0479039265352273,oxc-project/oxc,18823,False,0.047904354442412186,9.38200910027831e-06
specs → SZZ bugs,apache/arrow,48189,False,0.047977373789435215,microsoft/vscode,303120,False,0.04797942742802863,4.496053281011214e-05
specs → SZZ bugs,django/django,20686,False,0.047997294384628054,ray-project/ray,57679,False,0.0479974904581913,4.291046882709537e-06
specs → SZZ bugs,microsoft/vscode,292366,False,0.04799794867022091,vitejs/vite,20160,True,0.04799876653237407,1.7898475306310502e-05
specs → SZZ bugs,microsoft/vscode,291644,False,0.04810371778606133,zephyrproject-rtos/zephyr,102355,False,0.04810369890507561,4.123409538259182e-07
specs → SZZ bugs,dotnet/aspire,15470,False,0.04816290787583929,ray-project/ray,58419,False,0.04816305796049176,3.273861605812556e-06
specs → SZZ bugs,apache/arrow,49416,False,0.04827148809527966,zephyrproject-rtos/zephyr,101065,False,0.04826834426727293,6.843345024298841e-05
specs → SZZ bugs,apache/arrow,48304,False,0.04828124101263657,oxc-project/oxc,20309,True,0.048280104178309136,2.4740870628203737e-05
specs → SZZ bugs,kubernetes/kubernetes,135823,False,0.0483516916406161,run-llama/llama_index,20638,False,0.048348177595941996,7.637198975984916e-05
specs → SZZ bugs,apache/arrow,47782,False,0.04841823428388109,stripe/stripe-ios,5554,False,0.048418539569043816,6.625968074658317e-06
specs → SZZ bugs,django/django,20365,False,0.048440909243150906,astral-sh/uv,14432,False,0.04844449434558758,7.777468625436157e-05
specs → SZZ bugs,vercel/next.js,88794,False,0.04845750380490328,oxc-project/oxc,20867,False,0.04845484305562638,5.770667373017346e-05
