outcome,n_author_repo_pairs,mean_rate_specd,mean_rate_unspecd,mean_diff,t_stat,p_value,direction
reworked,87,0.18450938874062053,0.18549130528190066,-0.0009819165412801435,-0.04420925549223382,0.9648400933266502,expected
escaped,87,0.016374795658624465,0.018783606255085794,-0.002408810596461328,-0.22443548612202813,0.8229508312284084,expected
strict_escaped,87,0.011262829220307758,0.013681291080175339,-0.002418461859867577,-0.2636565921388089,0.7926752685371993,expected
