outcome,n_author_repo_pairs,mean_r,median_r,pct_positive,t_stat,p_value,direction,mean_above,mean_below,mean_diff,wilcoxon_p
reworked,185,-0.03231214027169006,0.009591912439591024,51.35135135135135,-1.1600306537857175,0.24753931708216334,expected,,,,
escaped,35,-0.03674999827358803,0.010899133407085586,51.42857142857142,-0.8298396123719404,0.41241830639084986,expected,,,,
strict_escaped,28,-0.05236793928119211,0.013522347166368139,53.57142857142857,-0.9873359971120012,0.33224388508591374,expected,,,,
reworked_mediansplit,299,,,,,,expected,0.13710455688315631,0.1468031879326534,-0.009698631049497065,0.34712940030303807
escaped_mediansplit,299,,,,,,expected,0.006157502726675082,0.009996505510019559,-0.0038390027833444793,0.572522993844214
strict_escaped_mediansplit,299,,,,,,expected,0.005354384077394768,0.00674351244133651,-0.0013891283639417432,0.9712379352018551
