repo,tier,pr_number,title,author,merged_at,additions,deletions,lines_changed,size_bucket,files_count,specd,spec_source,classification,ci_status,review_modified,escaped,review_cycles,time_to_merge_hours,approval_mechanism,workflow_type,reworked,rework_type,q_overall,q_outcome_clarity,q_error_states,q_scope_boundaries,q_acceptance_criteria,q_data_contracts,q_dependency_context,q_behavioral_specificity,q_change_type,q_spec_length_signal,strict_escaped,f_is_bot_author,f_ai_tagged,f_typos,f_casual,f_questions,f_fp_experience,f_fp_action,f_human_mentions,f_history,f_people_context,f_external_context,f_incidents,f_has_org_context,f_negations,f_causal_chains,f_specific_edges,f_generic_edges,f_edge_ratio,f_tradeoffs,f_domain_grounding,f_templates,f_slop,f_empty_sections,f_issue_refs,f_any_issue_refs,f_body_len,f_word_count,f_sent_len_mean,f_sent_len_std,f_type_token_ratio,f_avg_word_len,f_human_signals,f_org_context_signals,f_reasoning_signals,f_anti_signals,f_perplexity,formality_lived_experience,formality_organizational_memory,formality_uncertainty,formality_negative_scope,formality_causal_reasoning,formality_genuine_edge_cases,formality_template_filler,formality_overall,formality_classification,fev_lived_experience,fev_organizational_memory,fev_uncertainty,fev_causal_reasoning,ai_probability,s_length,s_structure,s_specificity,s_error_awareness,s_scope,s_acceptance,s_questions,s_references,s_overall,ce_questions,ce_questions_rate,ce_error_thinking,ce_error_thinking_rate,ce_uncertainty,ce_uncertainty_rate,ce_scope_awareness,ce_scope_awareness_rate,ce_tradeoff_reasoning,ce_tradeoff_reasoning_rate,ce_composite,ce_body_words,szz_bug_introducing,szz_fix_count
open-webui/open-webui,?,23200,i18n: Add missing Russian (ru-RU) translations,netsvetoch,2026-03-30T09:09:44+00:00,558,558,1116,large,1,False,,pending,no_checks,False,False,0,20.5,no_review,minimal-review,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844,52,15,3,2,13,2,4,935,2,0.2448,4,0.4896,0,0.0,0,0.0,1,0.1224,3,817,False,0
open-webui/open-webui,?,23216,perf: project only Chat.id in delete_shared_chats_by_user_id,Algorithm5838,2026-03-30T10:15:12+00:00,2,2,4,small,1,False,,pending,failed,False,False,0,9.8,no_review,minimal-review,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,51,18,2,2,13,2,4,949,2,0.2418,3,0.3628,0,0.0,0,0.0,1,0.1209,3,827,False,0
open-webui/open-webui,?,23215,perf: update_last_active_by_id via single UPDATE,Algorithm5838,2026-03-30T09:14:33+00:00,3,8,11,small,1,False,,pending,failed,False,False,0,8.8,approve_only,minimal-review,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882,51,17,2,2,13,2,4,973,2,0.2342,3,0.3513,0,0.0,0,0.0,1,0.1171,3,854,False,0
open-webui/open-webui,?,23120,0.8.12,tjbck,2026-03-27T00:26:39+00:00,461,234,695,large,26,False,,pending,clean_pass,False,False,0,1.3,no_review,minimal-review,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,True,185
open-webui/open-webui,?,23119,chore: changelog,Classic298,2026-03-26T23:52:17+00:00,21,0,21,small,1,False,,pending,failed,False,False,0,0.8,no_review,minimal-review,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,2,2,0,2,1,0,1,120,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,90,False,0
open-webui/open-webui,?,23069,i18n: Update catalan translation.json,aleixdorca,2026-03-26T22:31:42+00:00,42,42,84,small,1,False,,pending,clean_pass,False,False,0,12.7,no_review,minimal-review,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,847,52,14,2,2,13,2,4,936,2,0.2439,3,0.3659,0,0.0,0,0.0,1,0.122,3,820,False,0
open-webui/open-webui,?,23102,i18n: improve zh-CN translation,ShirasawaSama,2026-03-26T22:31:19+00:00,106,106,212,medium,2,False,,pending,clean_pass,False,False,0,5.6,no_review,minimal-review,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857,52,13,2,2,13,2,4,945,2,0.241,3,0.3614,0,0.0,0,0.0,1,0.1205,3,830,False,0
open-webui/open-webui,?,23110,i18n: add pt-BR translations for newly added UI items and consistency pass,joaoback,2026-03-26T22:31:12+00:00,12,12,24,small,1,False,,pending,clean_pass,False,False,0,0.6,no_review,minimal-review,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099,72,13,3,4,13,2,4,1210,2,0.1866,3,0.2799,0,0.0,2,0.1866,1,0.0933,4,1072,False,0
open-webui/open-webui,?,23097,i18n: Update fi-FI translation,Kylapaallikko,2026-03-26T22:21:21+00:00,35,35,70,small,1,False,,pending,clean_pass,False,False,0,6.2,no_review,minimal-review,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719,33,13,2,2,13,2,4,788,2,0.289,3,0.4335,0,0.0,0,0.0,1,0.1445,3,692,False,0
open-webui/open-webui,?,23035,0.8.11,tjbck,2026-03-25T22:49:59+00:00,45909,35177,81086,large,100,False,,pending,failed,False,False,1,1.0,label_based,minimal-review,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,False,0
