repo,pr_number,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
QuivrHQ/quivr,3645,1,1,1,0.0,10,0,611,1,5,17.11,11,33,6,0
QuivrHQ/quivr,3641,1,3,3,1.5305,28,8,1969,0,6,63.87,41,23,0,0
QuivrHQ/quivr,3642,1,2,2,0.9934,36,6,1799,1,6,35.82,34,32,6,0
QuivrHQ/quivr,3640,1,1,1,0.0,4,1,636,0,5,11.22,11,51,7,0
QuivrHQ/quivr,3590,1,1,1,0.0,3,3,636,0,5,27.01,10,433,4,0
QuivrHQ/quivr,3636,1,1,1,0.0,1,0,359,1,6,18.26,17,31,7,0
QuivrHQ/quivr,3635,1,2,2,0.9837,33,7,893,0,5,8.4,20,50,7,0
QuivrHQ/quivr,3633,1,2,2,0.8113,4,4,393,0,4,0.32,40,31,8,0
QuivrHQ/quivr,3632,1,4,4,1.2692,62,1,2114,0,6,51.0,69,29,6,0
QuivrHQ/quivr,3631,1,1,1,0.0,3,0,633,1,4,1.01,9,1,1,0
QuivrHQ/quivr,3628,1,1,1,0.0,3,3,359,1,5,6.5,16,0,0,0
QuivrHQ/quivr,3629,1,2,2,0.8813,9,1,1835,0,5,6.51,30,49,6,0
QuivrHQ/quivr,3627,1,1,2,0.8113,7,7,1564,1,5,0.0,36,432,9,0
QuivrHQ/quivr,3626,1,1,1,0.0,3,4,1204,0,4,0.0,19,431,8,0
QuivrHQ/quivr,3625,1,2,3,1.2729,72,38,2158,0,5,12.28,38,430,7,0
QuivrHQ/quivr,3624,1,1,1,0.0,26,21,340,0,3,7.07,11,429,6,0
QuivrHQ/quivr,3622,1,1,2,0.8113,4,4,1531,0,3,4.71,27,48,5,0
QuivrHQ/quivr,3621,1,1,1,0.0,4,0,1187,0,3,5.99,16,28,6,0
hashicorp/vault,30936,2,2,4,nan,8,5,0,1,0,0.0,0,0,0,0
hashicorp/vault,31826,1,1,1,0.0,7,7,92,0,1,723.5,1,1,1,0
hashicorp/vault,31819,1,1,1,nan,1,1,0,0,0,0.0,0,0,0,0
hashicorp/vault,31123,1,1,1,0.0,2,4,315,0,1,451.94,1,8,1,0
hashicorp/vault,30073,2,2,3,1.2577,33,1,823,1,1,441.03,2,0,0,0
hashicorp/vault,31069,5,5,11,2.6669,587,53,10283,0,27,177.64,73,15,3,0
hashicorp/vault,31528,1,1,1,0.0,3,3,2906,0,14,0.66,51,9,1,0
hashicorp/vault,31527,1,1,1,0.0,115,0,2791,0,14,14.15,50,8,0,0
hashicorp/vault,31407,2,7,13,2.6058,248,98,2250,1,12,30.15,99,17,4,0
hashicorp/vault,31274,2,2,3,1.5305,6,3,737,1,3,336.95,4,1,1,0
hashicorp/vault,31510,1,1,1,nan,3,1,0,0,0,0.0,0,0,0,0
hashicorp/vault,31509,1,1,1,0.0,3,1,99,0,5,136.05,7,111,22,0
hashicorp/vault,31502,1,1,1,0.0,7,3,187,1,4,51.06,6,24,14,0
hashicorp/vault,31506,2,7,13,nan,248,98,0,1,0,0.0,0,0,0,0
hashicorp/vault,31507,2,7,10,nan,44,411,0,0,0,0.0,0,0,0,0
hashicorp/vault,31474,1,1,1,0.0,6,2,139,0,6,7.83,15,110,21,0
hashicorp/vault,31500,2,7,10,0.8299,43,410,2039,0,9,32.7,66,109,20,0
hashicorp/vault,31445,2,2,2,nan,57,5,0,0,0,0.0,0,0,0,0
hashicorp/vault,31363,2,2,4,1.2854,79,1,561,0,5,93.65,9,1,1,0
hashicorp/vault,31498,2,8,12,nan,268,43,0,1,0,0.0,0,0,0,0
hashicorp/vault,31491,1,1,1,0.0,4,4,2791,1,14,5.94,49,17,3,0
hashicorp/vault,31497,2,2,3,nan,60,0,0,1,0,0.0,0,0,0,0
hashicorp/vault,31442,2,2,3,1.2004,60,0,2505,1,4,333.05,12,6,4,0
hashicorp/vault,31483,1,3,5,1.8081,202,93,201,0,2,15.83,6,25,7,0
hashicorp/vault,31492,1,9,12,1.131,118,125,1546,0,9,110.23,57,163,41,0
hashicorp/vault,31473,1,12,20,3.2634,445,23,397,0,8,7.13,22,24,15,0
hashicorp/vault,31487,1,1,2,0.9945,46,0,0,0,0,0.0,0,30,18,0
hashicorp/vault,31478,2,7,11,1.9347,342,129,1225,1,11,49.46,72,83,9,0
hashicorp/vault,31486,2,5,9,nan,7,35,0,0,0,0.0,0,0,0,0
hashicorp/vault,31485,1,1,1,nan,3,0,0,0,0,0.0,0,0,0,0
hashicorp/vault,31482,2,5,9,2.2009,7,35,1646,0,9,74.87,56,107,21,0
