repo,tier,pr_number,title,author,merged_at,additions,deletions,lines_changed,size_bucket,files_count,specd,spec_source,classification,ci_status,review_modified,escaped,review_cycles,time_to_merge_hours,approval_mechanism,workflow_type,reworked,rework_type,q_overall,q_outcome_clarity,q_error_states,q_scope_boundaries,q_acceptance_criteria,q_data_contracts,q_dependency_context,q_behavioral_specificity,q_change_type,q_spec_length_signal,strict_escaped,f_is_bot_author,f_ai_tagged,f_typos,f_casual,f_questions,f_fp_experience,f_fp_action,f_human_mentions,f_history,f_people_context,f_external_context,f_incidents,f_has_org_context,f_negations,f_causal_chains,f_specific_edges,f_generic_edges,f_edge_ratio,f_tradeoffs,f_domain_grounding,f_templates,f_slop,f_empty_sections,f_issue_refs,f_any_issue_refs,f_body_len,f_word_count,f_sent_len_mean,f_sent_len_std,f_type_token_ratio,f_avg_word_len,f_human_signals,f_org_context_signals,f_reasoning_signals,f_anti_signals,f_perplexity,formality_lived_experience,formality_organizational_memory,formality_uncertainty,formality_negative_scope,formality_causal_reasoning,formality_genuine_edge_cases,formality_template_filler,formality_overall,formality_classification,fev_lived_experience,fev_organizational_memory,fev_uncertainty,fev_causal_reasoning,ai_probability,s_length,s_structure,s_specificity,s_error_awareness,s_scope,s_acceptance,s_questions,s_references,s_overall,ce_questions,ce_questions_rate,ce_error_thinking,ce_error_thinking_rate,ce_uncertainty,ce_uncertainty_rate,ce_scope_awareness,ce_scope_awareness_rate,ce_tradeoff_reasoning,ce_tradeoff_reasoning_rate,ce_composite,ce_body_words,szz_bug_introducing,szz_fix_count
oxc-project/oxc,?,19816,feat(oxlint/lsp)!: show/fix safe suggestions by default,Sysix,2026-03-30T19:11:27+00:00,292,13,305,medium,7,False,,pending,failed,False,False,0,746.4,approve_only,label-based,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,0,6,0,1,0,0,4,137,0,0.0,0,0.0,0,0.0,0,0.0,1,0.813,1,123,False,0
oxc-project/oxc,?,17688,feat(linter): implement eslint/object-shorthand,yue4u,2026-03-30T17:49:26+00:00,3280,12,3292,large,7,False,,pending,clean_pass,False,False,1,2007.6,comment_approve,label-based,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0,4,0,0,0,0,2,44,0,0.0,0,0.0,1,2.7027,0,0.0,0,0.0,1,37,False,0
oxc-project/oxc,?,20877,chore(deps): update oxc-miette to 2.7.1,camc314,2026-03-30T16:53:25+00:00,5,5,0,,2,False,,,,False,False,0,0.0,self_approved,label-based,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,False,0
oxc-project/oxc,?,20856,test(oxfmt/lsp): Remove tester.rs,leaysgur,2026-03-30T16:27:25+00:00,0,77,77,small,3,False,,pending,failed,False,False,0,11.5,approve_only,label-based,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2,6,0,0,0,0,2,40,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,27,False,0
oxc-project/oxc,?,20834,perf(napi/parser): optimize string deserialization for non-ASCII sources,joshuaisaact,2026-03-30T15:19:17+00:00,151,46,197,medium,10,False,,pending,clean_pass,False,False,0,30.4,approve_only,label-based,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956,9,137,0,0,0,0,4,1106,0,0.0,0,0.0,1,0.1135,1,0.1135,1,0.1135,3,881,False,0
oxc-project/oxc,?,20869,chore(deps): update dependency @oxc-project/types to ^0.123.0,renovate,2026-03-30T11:11:25+00:00,8,3,0,,2,False,,,,False,False,0,0.0,rubber_stamp,label-based,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,2,27,2,1,1,4,13,169,1,0.8403,1,0.8403,0,0.0,0,0.0,0,0.0,2,119,False,0
oxc-project/oxc,?,20867,release(apps): oxlint v1.58.0 && oxfmt v0.43.0,Boshen,2026-03-30T10:19:25+00:00,216,118,334,medium,19,False,,pending,failed,False,False,0,0.1,no_review,label-based,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,49,51,8,4,0,0,0,607,0,0.0,4,0.8299,0,0.0,0,0.0,0,0.0,1,482,False,0
oxc-project/oxc,?,20864,chore(ci): fix prepare release apps workflow,camc314,2026-03-30T10:04:25+00:00,1,0,1,small,1,False,,pending,failed,False,False,0,0.2,label_based,label-based,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,False,0
oxc-project/oxc,?,20862,release(crates): oxc v0.123.0,Boshen,2026-03-30T10:00:11+00:00,343,251,594,large,49,False,,pending,clean_pass,False,False,0,0.4,no_review,label-based,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,33,44,4,2,0,1,6,430,0,0.0,2,0.639,0,0.0,1,0.3195,0,0.0,2,313,False,0
oxc-project/oxc,?,20860,fix(linter/no-noninteractive-tabindex): add missing composite widget …,babu-ch,2026-03-30T08:19:48+00:00,22,1,23,small,1,False,,pending,clean_pass,False,False,0,0.6,approve_only,label-based,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,0,0,0,1,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2,False,0
oxc-project/oxc,?,20851,chore(deps): update rust crate papaya to v0.2.4,renovate,2026-03-30T08:19:46+00:00,8,8,0,,1,False,,,,False,False,0,0.0,approve_only,label-based,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,6,17,2,1,1,0,7,181,0,0.0,2,1.3889,0,0.0,0,0.0,0,0.0,1,144,False,0
