repo,pr_number,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
prefecthq/prefect,20656,1,1,1,0.0,6,7,12350,0,6,0.46,378,389,96,0
prefecthq/prefect,20334,1,1,1,0.0,6,6,12350,0,6,2.32,377,388,95,0
prefecthq/prefect,21342,1,2,2,0.4537,21,0,4736,0,10,19.31,52,688,486,0
prefecthq/prefect,21339,2,2,2,0.9183,3,3,31133,1,26,1.92,159,0,0,0
prefecthq/prefect,21340,1,1,1,0.0,2,3,1109,1,12,1.81,26,687,485,0
prefecthq/prefect,21338,1,1,2,0.9627,71,35,1303,0,2,82.3,5,687,485,0
prefecthq/prefect,21337,1,1,1,0.0,51,51,7698,0,10,0.02,126,387,96,0
prefecthq/prefect,21336,1,1,1,0.0,26,26,7698,0,10,0.0,125,387,96,0
prefecthq/prefect,21335,1,1,1,0.0,3,3,7698,0,10,0.05,124,386,95,0
prefecthq/prefect,21334,1,1,2,0.246,24,25,12387,0,6,33.65,736,384,93,0
prefecthq/prefect,21333,1,1,1,0.0,3,3,7698,0,10,0.03,123,384,93,0
prefecthq/prefect,21329,1,1,1,0.0,3,3,7698,0,10,0.0,122,382,91,0
prefecthq/prefect,21328,1,1,1,0.0,16,16,7698,0,10,0.02,121,381,90,0
prefecthq/prefect,21266,1,1,1,0.0,3,0,145,0,3,2.85,6,104,28,0
prefecthq/prefect,21330,1,1,1,0.0,3,1,42,0,1,6.88,2,103,27,0
prefecthq/prefect,20951,2,2,6,1.7965,160,8,799,0,11,75.25,62,2,2,0
prefecthq/prefect,21327,1,1,1,0.0,3,3,7698,0,10,0.01,120,380,89,0
prefecthq/prefect,21326,1,1,1,0.0,9,9,7698,0,10,0.03,119,379,88,0
prefecthq/prefect,21325,1,1,1,0.0,3,3,7698,0,10,0.1,118,378,87,0
prefecthq/prefect,21324,1,1,1,0.0,0,1,105,0,2,7.92,2,102,26,0
prefecthq/prefect,21323,3,3,38,5.214,1,220,621,0,4,594.41,168,18,2,0
prefecthq/prefect,21322,2,6,35,4.2534,986,760,55221,0,31,28.99,734,686,484,0
prefecthq/prefect,21276,2,2,2,0.9857,152,125,5073,1,14,3.95,100,693,92,0
prefecthq/prefect,21286,5,8,13,2.8939,1073,43,28824,0,29,99.96,350,685,483,0
prefecthq/prefect,21304,4,4,4,1.2628,265,1,1567,0,15,9.0,141,692,91,0
prefecthq/prefect,21320,2,4,4,1.6895,28,2,4422,1,24,17.16,157,684,482,0
prefecthq/prefect,21321,1,1,1,0.0,0,3,2810,0,15,6.54,129,81,1,0
prefecthq/prefect,21318,1,2,2,0.1437,49,0,53,0,4,3.73,13,102,26,0
prefecthq/prefect,21307,2,3,3,1.286,132,29,6426,0,10,239.89,61,683,481,0
prefecthq/prefect,21306,1,2,2,0.9569,25,12,2422,1,11,138.26,46,681,479,0
prefecthq/prefect,21315,2,2,2,0.4104,83,2,1378,0,11,25.74,49,680,478,0
prefecthq/prefect,21311,1,1,1,0.0,13,15,7683,0,10,0.02,116,377,86,0
prefecthq/prefect,21310,1,2,2,0.6541,74,21,2564,1,10,47.95,41,680,478,0
prefecthq/prefect,21309,1,1,1,0.0,94,94,7683,0,10,0.17,115,376,85,0
prefecthq/prefect,21305,2,2,2,0.999,48,6,7024,1,16,41.16,135,678,476,0
prefecthq/prefect,21299,1,1,1,0.0,6,3,887,0,7,1.85,14,17,7,0
prefecthq/prefect,21293,1,1,2,1.0,2,2,8067,0,14,0.61,220,376,85,0
prefecthq/prefect,21288,1,1,1,0.0,64,15,38,0,3,1.74,3,10,3,0
prefecthq/prefect,21302,2,2,2,0.9565,45,0,1994,1,21,28.39,86,4,4,0
prefecthq/prefect,21298,1,1,1,0.0,12,40,419,1,2,21.95,3,677,475,0
prefecthq/prefect,21300,1,1,1,0.0,4,0,50,0,3,15.03,4,100,24,0
prefecthq/prefect,21280,2,2,2,0.5863,206,0,6829,0,12,12.46,59,92,7,0
prefecthq/prefect,21294,1,1,2,0.3451,93,93,13968,0,9,0.47,386,375,84,0
prefecthq/prefect,21296,1,1,1,0.0,10,7,12348,0,6,0.47,375,373,82,0
prefecthq/prefect,21257,3,4,5,0.935,486,343,10317,0,21,27.71,270,372,81,0
prefecthq/prefect,21292,1,1,2,0.7219,5,5,13968,0,9,0.41,384,371,80,0
prefecthq/prefect,21290,1,1,1,0.0,24,26,12350,0,6,6.34,374,370,79,0
prefecthq/prefect,21291,1,1,1,0.0,1,1,83,0,4,14.52,13,370,79,0
prefecthq/prefect,21289,1,1,1,0.0,3,3,123,0,1,4.89,1,676,474,0
prefecthq/prefect,21285,1,1,1,0.0,12,12,774,0,9,70.29,15,676,474,0
prefecthq/prefect,21287,1,1,1,0.0,9,0,35,0,2,18.22,2,99,23,0
prefecthq/prefect,21264,2,2,2,0.9999,115,0,1580,0,12,33.36,64,19,3,0
prefecthq/prefect,21279,1,1,1,0.0,144,0,0,0,0,0.0,0,690,89,0
prefecthq/prefect,21283,1,1,1,0.0,3,3,7529,0,10,1.79,112,368,77,0
prefecthq/prefect,21284,1,1,1,0.0,1,0,39,0,1,6.91,3,99,23,0
prefecthq/prefect,21281,2,2,2,0.9957,23,3,6235,1,21,3.84,118,675,473,0
prefecthq/prefect,21282,1,1,1,0.0,48,54,451,0,10,1.25,77,674,472,0
prefecthq/prefect,21278,1,1,1,0.0,140,2,245,0,3,0.83,5,672,470,0
prefecthq/prefect,21277,1,1,1,0.0,2,0,70,0,1,1.82,1,97,21,0
prefecthq/prefect,21267,2,3,3,1.2419,25,5,957,1,7,382.65,10,0,0,0
prefecthq/prefect,21247,1,1,5,0.3511,302,303,14029,0,9,264.56,393,367,76,0
prefecthq/prefect,21271,1,1,1,0.0,1,0,112,0,3,13.74,3,97,21,0
prefecthq/prefect,21275,1,1,1,0.0,8,2,176,0,1,0.78,1,671,469,0
prefecthq/prefect,21273,2,4,4,1.5766,144,4,1271,1,9,104.48,31,671,469,0
prefecthq/prefect,21033,2,5,6,1.7116,131,3,4016,0,23,49.86,150,0,0,0
prefecthq/prefect,21268,1,1,1,0.0,10,3,71,0,2,0.07,2,95,19,0
prefecthq/prefect,21252,4,17,27,3.9521,731,121,15126,0,31,57.36,353,689,88,0
prefecthq/prefect,21258,2,2,2,0.6253,64,0,7305,1,13,27.21,65,16,6,0
prefecthq/prefect,21265,1,1,1,0.0,1,0,30,0,1,17.99,1,94,18,0
prefecthq/prefect,21260,2,2,2,0.7147,167,1,2225,0,6,19.38,32,670,468,0
prefecthq/prefect,21263,1,27,100,7.1599,143,0,20203,0,33,151.43,455,668,467,0
prefecthq/prefect,21262,2,2,2,0.469,70,0,3794,0,17,5.17,67,667,470,0
prefecthq/prefect,21250,4,10,14,2.4534,74,19,4989,1,12,130.36,65,665,476,0
prefecthq/prefect,21248,2,2,2,0.9946,324,0,0,0,0,0.0,0,688,87,0
prefecthq/prefect,21229,1,3,4,1.585,18,0,242,0,7,435.01,16,687,86,0
prefecthq/prefect,21259,1,2,2,1.0,11,5,3743,0,17,106.48,46,666,476,0
prefecthq/prefect,21255,1,1,1,0.0,2,2,188,1,7,235.99,13,665,477,0
prefecthq/prefect,21249,1,1,1,0.0,197,18,129,0,2,45.94,2,663,475,0
prefecthq/prefect,21243,1,1,1,0.0,1,1,451,1,10,0.75,76,663,476,0
prefecthq/prefect,21244,1,1,2,0.1893,69,69,13966,0,9,0.38,380,366,76,0
prefecthq/prefect,21242,1,1,1,0.0,15,3,55,0,5,109.19,10,661,475,0
prefecthq/prefect,21237,1,1,1,0.0,3,3,7529,0,10,0.0,111,365,75,0
prefecthq/prefect,21239,1,1,1,0.0,3,3,7529,0,10,0.0,110,365,75,0
prefecthq/prefect,21240,1,1,1,0.0,77,77,7529,0,10,0.0,109,363,73,0
prefecthq/prefect,21238,1,1,1,0.0,3,3,7529,0,10,0.0,108,363,73,0
prefecthq/prefect,21241,1,1,1,0.0,3,3,7529,0,10,0.02,107,362,72,0
prefecthq/prefect,21236,1,1,1,0.0,11,0,233,0,3,105.28,3,660,475,0
prefecthq/prefect,21235,1,1,1,0.0,77,77,7529,0,10,3.37,106,360,70,0
prefecthq/prefect,21234,1,1,1,0.0,6,2,377,1,13,0.08,103,659,477,0
prefecthq/prefect,21233,1,2,2,0.1068,71,0,52,0,4,4.92,12,94,18,0
prefecthq/prefect,21231,2,4,4,1.4978,201,7,3303,1,8,26.91,58,658,479,0
