repo,tier,pr_number,title,author,merged_at,additions,deletions,lines_changed,size_bucket,files_count,specd,spec_source,classification,ci_status,review_modified,escaped,review_cycles,time_to_merge_hours,approval_mechanism,workflow_type,reworked,rework_type,q_overall,q_outcome_clarity,q_error_states,q_scope_boundaries,q_acceptance_criteria,q_data_contracts,q_dependency_context,q_behavioral_specificity,q_change_type,q_spec_length_signal,strict_escaped,f_is_bot_author,f_ai_tagged,f_typos,f_casual,f_questions,f_fp_experience,f_fp_action,f_human_mentions,f_history,f_people_context,f_external_context,f_incidents,f_has_org_context,f_negations,f_causal_chains,f_specific_edges,f_generic_edges,f_edge_ratio,f_tradeoffs,f_domain_grounding,f_templates,f_slop,f_empty_sections,f_issue_refs,f_any_issue_refs,f_body_len,f_word_count,f_sent_len_mean,f_sent_len_std,f_type_token_ratio,f_avg_word_len,f_human_signals,f_org_context_signals,f_reasoning_signals,f_anti_signals,f_perplexity,formality_lived_experience,formality_organizational_memory,formality_uncertainty,formality_negative_scope,formality_causal_reasoning,formality_genuine_edge_cases,formality_template_filler,formality_overall,formality_classification,fev_lived_experience,fev_organizational_memory,fev_uncertainty,fev_causal_reasoning,ai_probability,s_length,s_structure,s_specificity,s_error_awareness,s_scope,s_acceptance,s_questions,s_references,s_overall,ce_questions,ce_questions_rate,ce_error_thinking,ce_error_thinking_rate,ce_uncertainty,ce_uncertainty_rate,ce_scope_awareness,ce_scope_awareness_rate,ce_tradeoff_reasoning,ce_tradeoff_reasoning_rate,ce_composite,ce_body_words,szz_bug_introducing,szz_fix_count
zephyrproject-rtos/zephyr,?,105617,input: kbd matrix: switch polling properties to microseconds,YuzhuoLiuRTK,2026-03-19T06:28:01+00:00,30,12,42,small,4,False,,pending,clean_pass,False,False,1,51.0,comment_approve,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,9,6,0,0,0,0,2,254,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,222,False,0
zephyrproject-rtos/zephyr,?,106053,boards: realtek: bee: update documentation for rtl87x2g and rtl8752h,YuzhuoLiuRTK,2026-03-23T17:38:46+00:00,2,6,8,small,2,False,,pending,failed,False,False,0,9.6,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,6,2,0,0,0,0,0,60,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,40,False,0
zephyrproject-rtos/zephyr,?,105110,drivers: input: add Realtek Bee series support,YuzhuoLiuRTK,2026-03-23T12:53:45+00:00,659,2,661,large,11,False,,pending,clean_pass,False,False,1,342.5,comment_approve,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,11,72,0,0,0,0,1,445,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,357,False,0
zephyrproject-rtos/zephyr,?,101016,soc: microchip: sam: Preparation to introduce sam9x75,TonyHan11,2026-03-23T17:27:55+00:00,862,6,868,large,29,False,,pending,clean_pass,False,False,1,2367.4,cr_approve,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,5,3,0,0,0,0,0,71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,60,False,0
zephyrproject-rtos/zephyr,?,105886,tests: subsys: display: cfb: basic: fix cfb circle tests,soburi,2026-03-24T00:24:16+00:00,159,90,249,medium,3,False,,pending,clean_pass,False,False,1,97.7,comment_approve,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3,1,0,0,0,0,0,40,0,0.0,1,2.7778,0,0.0,0,0.0,0,0.0,1,36,False,0
zephyrproject-rtos/zephyr,?,106092,Ethernet: Renesas RA: change where net_if_carrier_off() is called,URNHere,2026-03-24T00:26:52+00:00,2,1,3,small,1,False,,pending,clean_pass,False,False,1,10.6,cr_approve,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,0,4,0,0,0,0,0,201,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,197,False,0
zephyrproject-rtos/zephyr,?,105892,doc: releases: Add DAC API additions to the 4.4 release notes,petejohanson-adi,2026-03-24T00:26:10+00:00,24,0,24,small,1,False,,pending,failed,False,False,0,96.5,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,0,0,0,0,0,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,12,False,0
zephyrproject-rtos/zephyr,?,105888,include: drivers: charger: document driver operations using Doxygen,kartben,2026-03-24T00:25:01+00:00,22,14,36,small,1,False,,pending,clean_pass,False,False,0,97.3,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,5,0,0,0,0,2,21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14,False,0
zephyrproject-rtos/zephyr,?,105885,include: drivers: auxdisplay: document driver operations using Doxygen,kartben,2026-03-24T00:23:44+00:00,112,74,186,medium,1,False,,pending,failed,False,False,0,97.9,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,5,0,0,0,0,2,21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,13,False,0
zephyrproject-rtos/zephyr,?,105508,drivers: input: add Adafruit seesaw gamepad driver,CharlesDias,2026-03-24T00:23:20+00:00,302,0,302,medium,6,False,,pending,clean_pass,False,False,1,222.2,comment_approve,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,1,129,0,0,0,0,1,597,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,60,False,0
zephyrproject-rtos/zephyr,?,105882,cmake: toolchain: Update arcmwdt toolchain for Zephyr SDK 1.0.0,cgturner1,2026-03-23T22:40:07+00:00,3,3,6,small,2,False,,pending,failed,False,False,0,97.9,approve_only,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,0,3,2,0,0,0,0,69,0,0.0,1,1.5625,0,0.0,0,0.0,0,0.0,1,64,False,0
zephyrproject-rtos/zephyr,?,105881,maintainers: Add collaborators to TF-A and security docs,ceolin,2026-03-23T22:39:41+00:00,4,0,4,small,1,False,,pending,failed,False,False,1,98.8,comment_approve,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,0,0,0,0,0,3,20,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15,False,0
zephyrproject-rtos/zephyr,?,105875,ethernet: dwmac: configure MAC based on PHY link state,tpambor,2026-03-23T22:39:07+00:00,96,1,97,small,6,False,,pending,clean_pass,False,False,1,100.0,cr_approve,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,0,0,0,0,0,0,32,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,32,False,0
zephyrproject-rtos/zephyr,?,105869,drivers: wifi: esp32: fix PSA crypto support for mbedTLS 4.x,sylvioalves,2026-03-23T22:38:18+00:00,107,22,129,medium,7,False,,pending,clean_pass,False,False,1,100.8,cr_approve,mixed,False,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,6,3,0,0,0,0,0,75,0,0.0,1,1.5152,0,0.0,0,0.0,0,0.0,1,66,False,0
