repo,pr_number,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
astral-sh/uv,18828,1,2,2,0.9973,150,14,38721,0,33,13.76,617,2176,50,0
astral-sh/uv,18817,2,2,15,2.9483,147,133,5851,0,38,6.86,739,1694,271,0
astral-sh/uv,18816,1,1,1,0.0,6,0,382,0,9,0.7,52,1693,270,0
astral-sh/uv,18804,1,1,4,0.9568,16,6,514,0,11,4.24,101,1688,265,0
astral-sh/uv,18814,1,1,1,0.0,2,1,418,0,30,9.09,377,1692,269,0
astral-sh/uv,18812,1,1,1,0.0,3,3,478,1,10,9.08,83,1691,268,0
astral-sh/uv,18806,1,1,1,0.0,4,0,151,0,3,1.45,20,1690,267,0
astral-sh/uv,18805,2,51,100,5.7557,379,347,12546,0,91,5.53,6538,1690,267,0
astral-sh/uv,18803,1,1,1,0.0,10,2,820,0,16,15.89,47,0,0,0
astral-sh/uv,18759,1,1,1,0.0,1,1,849,0,3,2.8,15,956,210,0
astral-sh/uv,18785,1,1,1,0.0,2,2,8635,1,69,0.44,1516,0,0,0
astral-sh/uv,18796,1,1,1,0.0,5,1,1112,0,3,9.05,14,786,93,0
astral-sh/uv,18739,1,6,7,1.9444,284,40,20096,0,48,37.18,460,0,0,0
astral-sh/uv,18800,1,1,1,0.0,0,1,97,0,8,8.65,20,1688,265,0
astral-sh/uv,18797,1,2,2,0.9183,3,3,1737,0,14,36.99,107,785,92,0
astral-sh/uv,18794,1,1,1,0.0,8,1,875,0,5,67.86,26,784,91,0
astral-sh/uv,18780,2,2,4,0.9426,54,21,11974,0,83,9.11,2064,784,91,0
astral-sh/uv,18725,1,1,1,0.0,15,0,46,0,2,7.81,3,34,19,0
astral-sh/uv,18777,1,1,1,0.0,15,7,2771,0,9,0.54,33,2175,49,0
astral-sh/uv,18767,1,4,7,1.8003,139,11,6376,0,16,33.16,157,2174,48,0
astral-sh/uv,18665,4,8,15,2.2248,267,1,9433,0,76,26.43,2031,783,90,0
astral-sh/uv,18768,2,2,2,0.8631,9,5,5164,0,49,0.23,329,0,0,0
astral-sh/uv,18737,2,7,12,1.5563,661,7,48929,1,149,11.7,2117,69,36,0
astral-sh/uv,18752,1,3,4,1.7676,125,41,4647,0,22,36.5,191,1,1,0
astral-sh/uv,18765,1,1,10,3.1396,15,15,2171,0,15,2.55,291,954,208,0
astral-sh/uv,18760,1,1,1,0.0,1,1,849,0,3,6.99,14,954,208,0
astral-sh/uv,18764,1,1,4,1.8113,8,8,699,0,7,1.74,112,952,206,0
astral-sh/uv,18763,1,1,5,2.1133,9,9,643,0,7,5.12,145,951,205,0
astral-sh/uv,18762,1,1,1,0.0,2,2,136,0,4,6.97,20,950,204,0
astral-sh/uv,18748,2,30,30,4.7033,34,19,1392,1,43,2.03,1687,2172,48,0
astral-sh/uv,18740,2,4,5,1.3361,58,15,13160,0,75,8.37,1768,2172,48,0
astral-sh/uv,18742,1,4,11,2.5643,136,23,7769,0,72,50.61,1085,2170,46,0
astral-sh/uv,18738,1,2,2,0.9929,105,6,512,0,16,50.8,67,2169,45,0
astral-sh/uv,18356,4,14,20,2.2428,2314,103,36769,0,160,27.5,3851,71,1,0
astral-sh/uv,18673,1,4,5,0.3961,655,9,7343,0,67,11.6,479,69,37,0
astral-sh/uv,18730,2,2,3,1.0176,46,1,4360,0,43,6.09,227,1,1,0
astral-sh/uv,18733,1,1,1,0.0,2,0,366,0,9,0.06,50,1686,268,0
astral-sh/uv,18075,1,1,1,0.0,4,4,2123,0,16,13.03,105,4,0,0
astral-sh/uv,18732,2,51,100,5.7725,366,347,12527,0,90,1.9,6411,1685,267,0
astral-sh/uv,18720,1,3,3,0.0322,999,999,76414,0,12,6.07,161,71,13,0
astral-sh/uv,18731,1,1,2,0.994,18,4,384,0,9,14.21,53,1685,267,0
astral-sh/uv,18727,1,1,1,0.0,2,0,141,0,5,3.64,31,1683,265,0
astral-sh/uv,18724,1,1,1,0.0,1,0,114,0,6,1.17,7,781,88,0
astral-sh/uv,17982,1,2,2,0.9183,11,1,2120,0,24,1.98,116,780,87,0
astral-sh/uv,18511,1,4,4,1.6858,181,118,19531,0,103,5.33,1173,67,35,0
astral-sh/uv,18722,1,1,1,0.0,3,4,4227,0,22,12.95,48,780,87,0
astral-sh/uv,18679,2,3,3,0.1889,148,12,9614,0,69,1.92,1572,33,18,0
astral-sh/uv,18714,1,1,1,0.0,1,1,450,1,1,0.08,1,1681,263,0
astral-sh/uv,18709,3,3,6,1.165,596,4,425,0,9,5.09,70,1681,263,0
astral-sh/uv,18710,1,2,2,0.5586,18,5,847,0,7,32.11,53,779,86,0
astral-sh/uv,18645,1,4,4,0.9748,173,18,3149,0,18,17.15,47,0,0,0
astral-sh/uv,17890,1,3,3,1.5663,236,141,11606,0,78,3.62,793,0,0,0
astral-sh/uv,18707,1,3,3,0.679,294,202,5136,0,74,7.18,769,2169,46,0
astral-sh/uv,18704,2,51,100,5.5009,414,401,12510,0,90,1.04,6309,1679,261,0
astral-sh/uv,18703,1,1,1,0.0,0,3,1436,0,9,18.31,28,2167,44,0
astral-sh/uv,18698,1,1,1,0.0,1,0,18,0,1,48.86,6,1678,260,0
astral-sh/uv,9697,1,2,2,0.6769,28,0,5950,0,34,5.22,193,1677,259,0
astral-sh/uv,6457,1,1,1,0.0,4,4,151,0,9,310.46,19,1677,259,0
astral-sh/uv,18692,1,1,1,0.0,7,29,451,1,3,0.84,15,32,17,0
astral-sh/uv,18691,1,1,1,0.0,2,2,1375,1,40,0.63,127,31,16,0
astral-sh/uv,18685,1,1,1,0.0,7,0,117,0,5,62.6,5,1676,258,0
astral-sh/uv,18688,1,1,1,0.0,14,8,1437,0,12,0.92,97,2167,44,0
astral-sh/uv,18686,1,1,1,0.0,1,0,96,0,8,24.31,19,1674,256,0
astral-sh/uv,18176,1,7,10,2.4707,672,98,87744,0,68,29.85,1149,30,25,0
astral-sh/uv,18683,2,51,100,5.5948,525,448,14240,0,90,3.82,6203,1673,255,0
astral-sh/uv,18674,1,3,3,1.3552,378,21,1173,0,14,17.23,43,29,14,0
astral-sh/uv,18607,2,4,9,2.1948,456,442,1066,0,13,137.24,33,1673,255,0
astral-sh/uv,18550,4,19,43,3.3752,2167,739,81617,0,225,34.17,7194,1669,251,0
astral-sh/uv,18680,1,4,10,2.1398,260,19,51665,0,43,99.09,493,33,24,0
astral-sh/uv,18666,1,2,2,0.1141,327,0,9842,1,20,1.78,83,1671,253,0
astral-sh/uv,18677,1,1,6,2.3899,13,2,2128,0,36,15.6,515,1670,252,0
astral-sh/uv,18473,1,1,1,0.0,8,5,616,0,13,208.05,27,0,0,0
astral-sh/uv,17935,1,1,2,0.2031,34,29,9086,0,75,0.01,1897,950,206,0
astral-sh/uv,18676,2,3,4,0.4314,76,2,11211,0,72,6.0,1616,33,24,0
astral-sh/uv,18625,2,2,3,1.109,116,2,736,0,31,13.55,422,29,14,0
astral-sh/uv,18669,1,1,1,0.0,29,7,429,0,3,18.12,14,2165,42,0
astral-sh/uv,18571,2,7,8,2.1355,58,14,24032,0,146,7.47,2900,66,34,0
astral-sh/uv,18659,1,1,1,0.0,22,21,2123,0,17,0.02,107,2164,41,0
astral-sh/uv,18657,1,5,7,2.0118,254,96,43668,0,48,25.56,785,2163,40,0
astral-sh/uv,18658,1,1,4,1.8113,8,8,699,0,6,0.02,104,949,205,0
astral-sh/uv,18650,1,1,1,0.0,10,10,8441,0,69,0.01,1503,948,204,0
astral-sh/uv,18652,1,1,4,1.8113,8,8,699,0,6,0.0,100,947,203,0
astral-sh/uv,18656,1,1,10,2.6915,25,25,1374,0,12,10.84,210,945,201,0
astral-sh/uv,18655,1,1,1,0.0,23,23,8441,0,69,0.0,1502,944,200,0
astral-sh/uv,18649,1,1,1,0.0,7,8,8442,0,69,0.02,1501,943,199,0
astral-sh/uv,18647,1,1,1,0.0,1,1,849,0,3,2.31,13,942,198,0
astral-sh/uv,18653,1,1,1,0.0,1,1,381,0,3,4.05,10,941,197,0
astral-sh/uv,18651,1,1,1,0.0,22,2,8422,0,69,0.0,1500,941,197,0
astral-sh/uv,18654,1,1,1,0.0,2,2,8422,0,69,1.62,1499,939,195,0
astral-sh/uv,18648,1,1,5,2.1133,9,9,641,0,7,6.27,130,938,194,0
astral-sh/uv,18646,1,2,2,0.65,7,5,17904,0,33,2.99,223,2162,39,0
astral-sh/uv,18635,1,2,2,0.2438,121,3,9724,1,19,5.76,81,0,0,0
astral-sh/uv,18624,1,1,1,0.0,2,1,474,0,10,3.07,81,65,34,0
astral-sh/uv,18594,1,1,1,0.0,10,10,8422,0,69,0.89,1498,938,194,0
astral-sh/uv,18586,1,2,2,0.9003,73,25,971,0,15,12.32,38,2161,38,0
astral-sh/uv,18595,1,1,1,0.0,2,0,1602,0,21,4.36,290,1668,250,0
astral-sh/uv,18610,1,1,1,0.0,1,1,345,0,14,5.32,47,1667,249,0
astral-sh/uv,18609,1,1,2,0.7919,32,31,76944,1,14,0.73,134,1666,248,0
astral-sh/uv,18601,1,1,1,0.0,11,11,1996,0,2,14.81,5,1666,248,0
astral-sh/uv,18597,2,2,4,1.375,62,52,285,0,5,95.77,9,1665,247,0
astral-sh/uv,18460,2,2,2,0.6559,65,0,1098,0,6,0.93,22,1663,245,0
astral-sh/uv,18591,1,3,3,0.0322,999,999,76414,0,12,5.6,157,69,11,0
astral-sh/uv,18588,1,1,1,0.0,3,7,307,0,5,1.7,9,1662,244,0
astral-sh/uv,18590,1,1,1,0.0,2,1,415,0,29,0.0,374,1662,244,0
astral-sh/uv,18589,1,1,1,0.0,2,1,414,0,29,6.73,373,1661,243,0
astral-sh/uv,18574,1,1,1,0.0,38,0,50,0,2,2.01,9,1659,241,0
astral-sh/uv,18457,2,3,3,0.102,173,1,8848,0,71,73.39,1537,1658,240,0
astral-sh/uv,18585,1,1,1,0.0,1,1,136,0,4,3.74,16,1657,239,0
astral-sh/uv,18425,1,2,3,1.4235,228,36,17674,0,42,26.84,273,1657,239,0
astral-sh/uv,18578,2,51,100,5.7503,382,347,12165,0,90,2.89,6090,1655,238,0
astral-sh/uv,18573,2,2,2,0.469,1,19,1143,0,3,3.05,14,1654,237,0
astral-sh/uv,18569,1,1,1,0.0,24,22,4433,0,31,0.1,141,1653,236,0
astral-sh/uv,18567,1,3,5,0.8438,105,110,11745,0,62,4.14,646,1652,236,0
astral-sh/uv,18565,1,2,2,0.6052,26,1,17079,0,98,3.38,593,1651,237,0
astral-sh/uv,18564,1,1,2,0.3936,58,58,5364,0,37,21.19,207,1650,236,0
astral-sh/uv,18557,1,2,2,0.9009,341,3,17052,0,32,38.24,222,1649,235,0
astral-sh/uv,18406,1,1,2,0.9918,230,305,77019,0,13,3.76,131,27,12,0
astral-sh/uv,18520,1,3,3,1.0111,92,37,4184,0,15,26.93,60,1648,234,0
