repo,pr_number,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
tokio-rs/tokio,7962,1,1,2,0.2056,124,0,113,0,11,3.74,11,0,0,0
tokio-rs/tokio,7987,3,4,5,1.553,23,28,2367,0,29,14.93,81,1,1,0
tokio-rs/tokio,7989,1,1,1,0.0,2,2,332,0,6,193.69,6,1,1,0
tokio-rs/tokio,7968,2,3,4,1.2869,26,21,2288,0,24,248.43,63,0,0,0
tokio-rs/tokio,7978,3,3,4,0.921,103,1,1079,0,30,87.0,48,5,0,0
tokio-rs/tokio,7984,1,1,1,0.0,4,1,100,0,1,11.16,1,0,0,0
tokio-rs/tokio,7977,2,2,2,0.971,4,1,762,0,19,21.67,32,27,1,0
tokio-rs/tokio,7967,2,2,2,0.8366,11,4,1302,0,25,20.83,64,2,2,0
tokio-rs/tokio,7966,1,2,2,0.998,245,2,417,0,4,7.19,6,1,1,0
tokio-rs/tokio,7921,1,4,5,1.5533,139,0,2663,0,28,85.69,61,10,0,0
tokio-rs/tokio,7944,1,1,2,0.2762,105,0,105,0,7,98.0,9,1,0,0
tokio-rs/tokio,7954,1,2,2,0.9965,43,0,374,0,3,400.15,4,0,0,0
tokio-rs/tokio,7961,2,2,2,0.8113,4,4,1336,0,24,18.91,64,50,12,0
tokio-rs/tokio,7953,2,2,2,1.0,8,0,510,0,14,3.43,76,12,1,0
tokio-rs/tokio,7902,1,4,5,2.0744,13,15,351,0,11,394.16,17,1,1,0
tokio-rs/tokio,7934,2,2,4,0.5143,98,4,4952,0,32,49.74,180,49,11,0
tokio-rs/tokio,7943,1,1,2,0.7219,9,1,249,0,5,80.29,15,48,10,0
tokio-rs/tokio,7768,1,2,3,1.0459,309,0,35,0,3,70.9,3,0,0,0
tokio-rs/tokio,7935,1,1,1,0.0,2,0,1263,1,21,17.9,52,19,13,0
tokio-rs/tokio,7920,1,1,1,0.0,3,1,144,1,4,370.71,4,2,2,0
tokio-rs/tokio,7932,1,1,1,0.0,1,1,1846,1,19,16.16,30,1,1,0
tokio-rs/tokio,7882,1,1,1,0.0,24,1,554,1,3,348.55,3,47,9,0
tokio-rs/tokio,7922,2,4,4,1.6583,76,9,840,1,14,224.1,23,47,9,0
tokio-rs/tokio,7929,1,1,1,0.0,6,8,1411,0,7,149.85,8,0,0,0
tokio-rs/tokio,7754,1,2,2,0.4855,9,10,1455,1,4,265.9,5,1,1,0
tokio-rs/tokio,7925,1,1,1,0.0,1,1,711,1,16,16.47,17,2,2,0
tokio-rs/tokio,7926,1,1,1,0.0,3,3,102,1,2,37.32,2,0,0,0
tokio-rs/tokio,7923,1,1,1,0.0,15,0,212,0,3,4.14,4,0,0,0
tokio-rs/tokio,7918,1,1,1,0.0,4,4,600,1,10,0.94,12,45,7,0
tokio-rs/tokio,7919,1,1,1,0.0,4,5,1121,0,6,146.06,6,0,0,0
tokio-rs/tokio,7895,2,3,3,1.5186,17,58,830,0,16,232.61,22,10,7,0
tokio-rs/tokio,7910,1,2,2,0.6292,32,6,1427,1,12,263.23,23,1,1,0
tokio-rs/tokio,7903,1,1,1,0.0,8,0,28,0,1,195.08,1,0,0,0
tokio-rs/tokio,7912,1,2,2,0.3014,55,1,463,1,2,610.54,3,1,1,0
tokio-rs/tokio,7913,1,1,2,1.0,2,2,547,1,7,170.95,10,1,1,0
tokio-rs/tokio,7908,1,1,1,0.0,2,2,1332,0,3,141.26,3,1,1,0
tokio-rs/tokio,7891,1,1,1,0.0,5,0,686,1,16,2.96,19,18,13,0
tokio-rs/tokio,7904,1,1,2,0.9968,29,1,317,0,3,400.17,5,6,3,0
nushell/nushell,17937,2,5,7,1.2822,299,2,11633,0,71,11.0,1039,279,81,0
nushell/nushell,17931,3,44,44,5.4279,91,45,2126,1,62,53.29,2673,0,0,0
nushell/nushell,17651,1,3,3,1.5462,15,1,3214,0,48,4.36,159,1,1,0
nushell/nushell,17906,1,2,3,0.8717,94,63,931,0,17,31.35,25,23,23,0
nushell/nushell,17929,2,4,5,1.9182,25,13,11330,0,65,55.0,938,119,35,0
nushell/nushell,17923,2,2,2,0.9911,8,1,8762,1,41,7.21,184,122,7,0
nushell/nushell,17899,1,2,2,0.5586,22,1,1678,0,24,7.5,64,44,7,0
nushell/nushell,17915,1,1,1,0.0,1,1,957,1,18,11.52,37,2,2,0
nushell/nushell,17912,2,3,3,1.2389,12,14,10541,0,64,4.45,540,278,80,0
nushell/nushell,17911,1,1,1,0.0,4,2,1366,1,25,1.33,59,22,22,0
nushell/nushell,17350,2,4,4,1.9574,24,1,3302,0,46,9.52,145,1,1,0
nushell/nushell,17910,2,8,9,3.1219,10,10,3543,1,19,78.84,123,21,21,0
nushell/nushell,17909,1,1,1,0.0,12,1,1164,0,13,0.37,47,20,20,0
nushell/nushell,17897,2,2,2,0.9544,7,1,7617,1,35,160.36,150,8,8,0
nushell/nushell,17905,1,1,1,0.0,8,8,1456,0,14,2.67,27,277,79,0
nushell/nushell,17826,2,3,3,0.6145,240,162,884,0,19,88.58,47,277,79,0
nushell/nushell,17894,2,2,2,0.684,4,7,431,1,46,71.46,358,18,18,0
nushell/nushell,17904,1,1,1,0.0,1,1,831,1,18,2.66,55,2,2,0
