repo,pr_number,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
apache/spark,52460,1,10,13,3.6216,33,32,10458,0,49,110.63,146,14,2,0
Lightning-AI/pytorch-lightning,21621,1,1,1,0.0,7,8,1839,1,11,76.78,24,12,2,0
Lightning-AI/pytorch-lightning,21598,2,3,3,1.571,8,2,356,0,5,267.38,13,115,2,0
Lightning-AI/pytorch-lightning,21597,1,2,2,0.1392,0,51,125,0,3,587.2,4,113,0,0
Lightning-AI/pytorch-lightning,21603,1,2,2,1.0,2,2,19,0,7,76.86,69,197,36,0
Lightning-AI/pytorch-lightning,21607,1,1,1,0.0,1,1,26,0,8,0.0,69,196,35,0
Lightning-AI/pytorch-lightning,21604,1,1,1,0.0,1,1,2,0,1,76.86,9,194,33,0
Lightning-AI/pytorch-lightning,21602,1,1,1,0.0,1,1,9,0,3,76.85,13,194,33,0
Lightning-AI/pytorch-lightning,21600,1,1,1,0.0,1,1,11,0,9,12.94,23,192,31,0
Lightning-AI/pytorch-lightning,21599,1,2,2,1.0,2,2,40,0,8,12.94,110,191,30,0
Lightning-AI/pytorch-lightning,21595,2,2,2,0.7513,76,3,257,0,7,286.07,8,0,0,0
Lightning-AI/pytorch-lightning,21545,2,2,2,0.3373,31,1,1045,1,6,138.03,10,0,0,0
Lightning-AI/pytorch-lightning,21430,5,13,16,2.2326,1079,11,3607,0,22,232.55,89,8,7,0
Lightning-AI/pytorch-lightning,21321,3,3,4,1.1491,85,46,2492,0,11,92.35,32,14,4,0
Lightning-AI/pytorch-lightning,21384,2,3,4,1.7773,196,8,6145,1,40,49.49,131,9,3,0
Lightning-AI/pytorch-lightning,21572,6,13,19,1.9264,35,1047,12845,0,51,79.89,281,22,7,0
Lightning-AI/pytorch-lightning,21420,1,1,1,0.0,1,1,25,0,5,0.0,56,156,35,0
Lightning-AI/pytorch-lightning,21415,1,3,5,2.3219,5,5,59,0,7,2.52,165,159,38,0
Lightning-AI/pytorch-lightning,21423,1,1,2,1.0,2,2,288,0,11,8.74,51,152,31,0
Lightning-AI/pytorch-lightning,21417,1,2,2,1.0,2,2,38,0,5,4.37,93,158,37,0
Lightning-AI/pytorch-lightning,21427,1,1,1,0.0,1,1,25,1,5,4.13,55,13,3,0
Lightning-AI/pytorch-lightning,21592,1,3,3,1.231,25,5,5590,0,52,16.69,194,10,2,0
Lightning-AI/pytorch-lightning,21591,3,3,4,1.4039,159,137,962,0,8,78.97,14,9,1,0
Lightning-AI/pytorch-lightning,21402,2,3,3,1.164,39,11,973,1,22,223.76,58,0,0,0
Lightning-AI/pytorch-lightning,21300,4,11,11,2.7216,43,12,3413,1,15,49.46,143,151,30,0
Lightning-AI/pytorch-lightning,21586,2,6,6,1.8659,42,2,6267,1,52,77.3,202,19,6,0
Lightning-AI/pytorch-lightning,21501,3,3,4,1.7605,9,4,1534,0,13,179.31,98,19,6,0
Lightning-AI/pytorch-lightning,21587,1,1,1,0.0,3,0,103,0,5,67.93,13,17,4,0
Lightning-AI/pytorch-lightning,21571,1,1,1,0.0,1,1,11,0,9,63.91,22,190,39,0
Lightning-AI/pytorch-lightning,21522,1,1,1,0.0,1,1,23,0,2,0.0,24,189,38,0
Lightning-AI/pytorch-lightning,21541,1,1,1,0.0,1,1,15,0,1,217.91,15,188,37,0
Lightning-AI/pytorch-lightning,21510,1,1,1,0.0,1,1,9,0,4,47.95,20,186,35,0
Lightning-AI/pytorch-lightning,21540,1,1,1,0.0,2,2,40,0,2,217.91,17,188,37,0
Lightning-AI/pytorch-lightning,21509,1,1,1,0.0,1,1,26,0,8,0.0,67,186,35,0
Lightning-AI/pytorch-lightning,21508,1,2,2,1.0,2,2,40,0,8,35.73,107,184,33,0
Lightning-AI/pytorch-lightning,21497,1,1,1,0.0,1,1,23,0,2,0.0,23,183,32,0
Lightning-AI/pytorch-lightning,21496,1,1,1,0.0,1,1,23,0,2,0.0,22,182,31,0
Lightning-AI/pytorch-lightning,21495,1,1,1,0.0,1,1,23,0,2,0.0,21,182,31,0
Lightning-AI/pytorch-lightning,21494,1,1,1,0.0,1,1,23,0,2,63.91,20,181,30,0
Lightning-AI/pytorch-lightning,21581,2,6,6,2.0613,28,4,8525,1,53,104.77,226,12,3,0
Lightning-AI/pytorch-lightning,21395,2,3,3,1.1822,39,2,5812,0,40,47.38,120,46,16,0
Lightning-AI/pytorch-lightning,21392,1,1,1,0.0,1,1,11,0,9,20.89,20,150,29,0
Lightning-AI/pytorch-lightning,21397,2,4,4,1.1688,58,15,7080,0,43,143.74,137,45,15,0
Lightning-AI/pytorch-lightning,21396,2,3,3,1.2327,47,7,5723,1,40,53.67,121,44,14,0
Lightning-AI/pytorch-lightning,21398,2,9,9,3.0566,15,15,8066,0,44,134.27,159,44,14,0
Lightning-AI/pytorch-lightning,21413,1,1,1,0.0,1,1,25,1,5,37.86,54,13,3,0
Lightning-AI/pytorch-lightning,21378,1,1,1,0.0,1,1,13,0,3,34.15,35,147,27,0
Lightning-AI/pytorch-lightning,21399,2,3,3,1.3441,36,2,5271,1,42,68.94,119,42,16,0
Lightning-AI/pytorch-lightning,21575,4,4,5,2.1556,4,4,530,0,13,39.88,131,16,3,0
Lightning-AI/pytorch-lightning,21538,4,6,8,2.5864,29,12,1115,1,14,100.94,184,18,6,0
Lightning-AI/pytorch-lightning,21559,1,1,1,0.0,57,0,173,0,1,704.03,1,0,0,0
Lightning-AI/pytorch-lightning,21467,3,4,4,0.9985,37,2,5792,1,44,129.93,150,0,0,0
Lightning-AI/pytorch-lightning,21570,1,1,1,0.0,6,0,30,0,3,171.77,5,21,6,0
Lightning-AI/pytorch-lightning,21560,2,3,3,1.2143,22,1,5837,1,43,108.28,127,1,1,0
Lightning-AI/pytorch-lightning,21565,1,1,1,0.0,1,1,185,0,3,174.85,4,21,6,0
Lightning-AI/pytorch-lightning,21563,1,1,4,1.9219,5,5,500,0,10,18.24,76,179,34,0
Lightning-AI/pytorch-lightning,21562,1,1,5,2.1281,7,7,646,0,10,72.93,82,178,33,0
Lightning-AI/pytorch-lightning,21558,1,1,2,1.0,2,2,421,0,12,12.24,86,19,4,0
Lightning-AI/pytorch-lightning,21388,1,1,1,0.0,1,0,112,0,2,22.12,13,26,2,0
Lightning-AI/pytorch-lightning,21380,2,3,3,1.1463,33,3,6096,1,41,110.59,119,9,5,0
Lightning-AI/pytorch-lightning,21258,3,3,4,1.8451,126,9,3213,0,24,215.79,67,41,27,0
Lightning-AI/pytorch-lightning,21379,1,1,1,0.0,1,1,11,0,9,15.04,19,144,41,0
Lightning-AI/pytorch-lightning,21370,1,1,1,0.0,1,1,61,0,8,0.14,15,13,6,0
Lightning-AI/pytorch-lightning,21361,3,9,9,2.7785,69,54,7934,1,47,125.4,198,13,6,0
elastic/elasticsearch,144911,1,1,1,0.0,1,0,595,0,10,1.67,19,1,1,0
elastic/elasticsearch,144898,1,21,22,nan,115,286,0,0,0,0.0,0,0,0,0
elastic/elasticsearch,144897,1,21,22,nan,115,288,0,0,0,0.0,0,0,0,0
elastic/elasticsearch,144896,1,21,22,nan,115,288,0,0,0,0.0,0,0,0,0
elastic/elasticsearch,144892,2,3,3,nan,208,0,0,1,0,0.0,0,0,0,0
elastic/elasticsearch,144891,2,3,3,nan,208,0,0,1,0,0.0,0,0,0,0
elastic/elasticsearch,144890,2,3,3,nan,208,0,0,1,0,0.0,0,0,0,0
elastic/elasticsearch,144878,1,1,1,0.0,0,18,2106,0,14,12.74,34,236,25,0
elastic/elasticsearch,144876,1,1,1,0.0,0,1,11,0,3,7.05,4,13,7,0
elastic/elasticsearch,144874,1,1,2,1.0,2,2,890,0,4,8.44,47,114,6,0
elastic/elasticsearch,144866,1,3,3,nan,13,62,0,0,0,0.0,0,0,0,0
elastic/elasticsearch,144865,1,3,3,nan,13,62,0,0,0,0.0,0,0,0,0
elastic/elasticsearch,144864,1,3,3,nan,13,62,0,0,0,0.0,0,0,0,0
elastic/elasticsearch,144859,2,3,3,0.8151,109,7,686,1,7,165.27,11,18,3,0
elastic/elasticsearch,144835,1,3,3,1.3755,23,176,1554,1,12,0.71,32,97,11,0
elastic/elasticsearch,144832,2,9,13,2.609,1184,18,5141,0,39,8.59,361,77,59,0
elastic/elasticsearch,144821,2,4,5,nan,122,15,0,0,0,0.0,0,0,0,0
elastic/elasticsearch,144820,2,4,5,nan,119,14,0,0,0,0.0,0,0,0,0
elastic/elasticsearch,144819,2,4,5,nan,119,14,0,0,0,0.0,0,0,0,0
