repo,size_bucket,spec_status,count,rework_count,rework_rate,median_review_cycles,median_ttm_hours
cli/cli,large,specd,5,0,0.0,0,284.8
cli/cli,large,unspecd,3,0,0.0,0,227.7
cli/cli,medium,specd,18,0,0.0,0.0,89.3
cli/cli,medium,unspecd,2,0,0.0,0.0,177.05
cli/cli,small,specd,29,0,0.0,0,8.1
cli/cli,small,unspecd,16,0,0.0,0.0,2.65
