repo,n_prs,mean_jit_risk,median_jit_risk,mean_engagement_density,mean_jit_size,mean_jit_spread,mean_jit_churn,n_specd,n_unspeqd,specd_mean_risk,unspeqd_mean_risk,engagement_risk_rho,engagement_risk_p
Aider-AI/aider,80,0.056716464989218784,0.038572897873522125,0.005319319640564826,42.2375,2.25,0.2028137562713638,0,80,,0.056716464989218784,0.034465953390589214,0.76150024845205
BerriAI/litellm,100,0.07586358666538234,0.04468326357611531,0.0,492.67,7.77,0.2245714973879107,0,100,,0.07586358666538234,,
ClickHouse/ClickHouse,67,0.05151472411324051,0.03609349122915568,0.20421257139557047,117.68656716417911,4.537313432835821,0.15955140074876462,0,67,,0.05151472411324051,-0.20269339699096242,0.09996593081113019
Lightning-AI/pytorch-lightning,63,0.08033372151060697,0.08666741196545606,1.3827273816962178,63.904761904761905,3.1746031746031744,0.2871702491012669,0,63,,0.08033372151060697,-0.20386184062347373,0.10902733363524489
Mintplex-Labs/anything-llm,418,0.0958718325194441,0.08666741196545606,1.142760169970391,594.9688995215311,11.23444976076555,0.26955320631685875,0,418,,0.0958718325194441,0.0022143531456103958,0.9639980768722075
PostHog/posthog,787,0.07747390791705293,0.06738563711174353,1.551388189666481,264.7369758576874,5.40279542566709,0.25424123462051496,743,44,0.07654326218827542,0.09318913010981848,-0.043678536047410614,0.22096232860978965
PowerShell/PowerShell,769,0.09202900451139488,0.08666741196545606,0.44992915359871805,143.13524057217165,4.0897269180754225,0.32558194441706234,0,769,,0.09202900451139488,-0.13808249122835795,0.00012236887793475387
QuivrHQ/quivr,18,0.06429529862267486,0.05478948683521903,0.0,23.333333333333332,1.7222222222222223,0.2384569066594851,0,18,,0.06429529862267486,,
TabbyML/tabby,25,0.10291855891355245,0.09979984010221819,0.2687973663516136,349.56,10.36,0.30688401002586685,0,25,,0.10291855891355245,-0.47345961370059353,0.01682147328328605
all-hands-ai/OpenHands,690,0.07948649212282635,0.07274000792024282,12.97508612625761,491.54782608695655,5.734782608695652,0.2592535287821794,0,690,,0.07948649212282635,0.009794304353795406,0.7973215741661719
anthropics/anthropic-cookbook,65,0.09262957276852181,0.08489654171676184,11.447661801167868,1135.1846153846154,10.2,0.26648376356948605,58,7,0.09557778764429545,0.06820150665496884,0.0792681207869669,0.530221024922962
antiwork/gumroad,829,0.1039912737188273,0.08666741196545606,0.5736806657873315,521.1604342581423,8.891435464414958,0.32508924744274215,786,43,0.10512840299574884,0.08320560833137776,0.07754192090438697,0.025574778632760396
apache/airflow,120,0.08087698825098526,0.07494585012071112,1.4432440101445907,359.46666666666664,6.591666666666667,0.25613140765845294,0,120,,0.08087698825098526,-0.19855868231237783,0.029702901331216978
apache/arrow,685,0.07604305378576436,0.06537120300809607,6.855073133847394,384.0087591240876,4.931386861313869,0.2532893301096148,677,8,0.0758908076095827,0.0889268864451378,-0.017125606882893572,0.6545615641262302
apache/flink,149,0.069457620887253,0.04855579524197661,1.622578709458559,812.5503355704698,10.322147651006711,0.17324725957200315,0,149,,0.069457620887253,-0.13976129550226934,0.0891327295862152
apache/kafka,381,0.08553979848657531,0.08554203867228234,2.5033348727449924,311.03674540682414,6.270341207349081,0.2782597090962825,376,5,0.08532109160121017,0.1019865562660345,-0.0140447710591329,0.7846566714567769
apache/spark,1,0.1542195123944256,0.1542195123944256,0.6212121212121212,65.0,13.0,0.48484848484848486,0,1,,0.1542195123944256,,
astral-sh/ruff,1129,0.07978953140820685,0.08227417035191364,1.4180522247540412,250.65279007971657,4.324180690876882,0.2747672674389976,1024,105,0.07923012542374533,0.08524507167571733,-0.23318992400024272,2.0830045816016654e-15
bevyengine/bevy,1809,0.0922946270077649,0.08666741196545606,3.8215559534168673,197.8032061912659,5.398009950248756,0.31365297705073353,0,1809,,0.0922946270077649,-0.1433968143519942,8.984841909727659e-10
biomejs/biome,979,0.10106811054878602,0.08666741196545606,0.18257503797511973,1212.6567926455566,15.911133810010215,0.24311040302993278,24,955,0.12184157619939433,0.1005460548675142,-0.1812261699740342,1.1265435678644417e-08
calcom/cal.com,1363,0.09232958120332296,0.08666741196545606,0.026928157276688475,746.9420396184886,9.085840058694057,0.27665343258729996,636,727,0.09224868450249278,0.09240035190721294,0.003723129380031401,0.8907715827811834
celery/celery,186,0.07388294957707826,0.08666741196545606,2.53306599793476,58.88709677419355,2.4193548387096775,0.26944403350503415,0,186,,0.07388294957707826,-0.1728236324579216,0.01832975542657532
chroma-core/chroma,1890,0.08480664507895358,0.07989847414049192,2.6139063797909037,567.5232804232804,6.282539682539682,0.2747613099495265,0,1890,,0.08480664507895358,-0.06440937874273868,0.0050913253985139925
clerkinc/javascript,964,0.08909609653399726,0.06812678871577475,0.0952777141018764,390.5746887966805,12.406639004149378,0.23061129549754383,0,964,,0.08909609653399726,-0.12538551554186372,9.486003150579527e-05
cli/cli,128,0.08248041413135221,0.07196215422637686,4.53762965437582,1557.984375,5.5078125,0.27197314288815855,0,128,,0.08248041413135221,-0.057613243872961045,0.5183038976475547
cline/cline,90,0.06633246922944741,0.05041574158904639,1.5427970629059435,263.0888888888889,6.2,0.2021104819960697,0,90,,0.06633246922944741,0.08525114508058239,0.4243402785503262
cockroachdb/cockroach,356,0.07044654865248909,0.06267252978419788,8.558792686343468,1018.5842696629213,5.26123595505618,0.22710757357348807,0,356,,0.07044654865248909,0.02332320136029372,0.6609707560404535
containerd/containerd,833,0.09425215616480474,0.08666741196545606,1.367150704249512,922.062424969988,7.571428571428571,0.29882164675434186,0,833,,0.09425215616480474,-0.09616693977969329,0.0054725309178634465
continuedev/continue,630,0.08244752704855651,0.08246132779208884,1.620965527955627,306.5031746031746,4.253968253968254,0.2856606317393304,0,630,,0.08244752704855651,-0.178021557346448,6.944316206054158e-06
crewAIInc/crewAI,456,0.08678981011185212,0.06938203900208059,3.3930066693300054,2137.8004385964914,10.62719298245614,0.236617568946054,0,456,,0.08678981011185212,0.04471639743172668,0.3407234820638023
dagster-io/dagster,3227,0.08940237486195962,0.08380842809210327,1.7675254985602233,367.4254725751472,7.640223117446545,0.2796848699088039,0,3227,,0.08940237486195962,-0.06760952739591826,0.00012125059145997882
danny-avila/LibreChat,742,0.08325298132088087,0.0702010294416168,0.21071112739037018,616.4123989218328,8.417789757412399,0.2473540024708306,0,742,,0.08325298132088087,0.04282280436362503,0.24399988825032026
dbt-labs/dbt-core,136,0.05952052398073119,0.03377642595163084,1.645484091320207,454.15441176470586,4.610294117647059,0.19069307188596904,0,136,,0.05952052398073119,-0.07594192425083131,0.3795516776974698
denoland/deno,726,0.07711485635244365,0.06584560976957275,1.0000626677545603,478.43388429752065,5.96969696969697,0.24743742957265308,0,726,,0.07711485635244365,-0.10577763207207382,0.004327993380334848
django/django,419,0.07705951388477902,0.07304863053890133,15.642968538503483,75.19809069212411,3.9260143198090693,0.26737512026862453,0,419,,0.07705951388477902,-0.084394607534299,0.0844494487940538
dmlc/xgboost,449,0.10643487061987972,0.1049149109907463,0.6243649540405682,243.61692650334075,6.783964365256125,0.35657121270768516,0,449,,0.10643487061987972,-0.06904966553125921,0.14406989408273493
dotnet/aspire,470,0.10353973154833092,0.08519167880358422,0.22824258371607173,10975.291489361702,18.382978723404257,0.21972614827552395,0,470,,0.10353973154833092,-0.06763958544257707,0.1431492181196933
dotnet/maui,613,0.08084013360941252,0.05358261155893168,2.6277734903885515,721.3898858075041,13.225122349102774,0.18751202286592653,0,613,,0.08084013360941252,-0.10692357899756659,0.008061114828827839
dotnet/runtime,214,0.08146654545152623,0.07052667298758601,1.5739611626149783,318.6121495327103,6.429906542056075,0.26023411981024813,0,214,,0.08146654545152623,0.02107124895146252,0.7592434138686575
e2b-dev/E2B,182,0.0953090204072671,0.08659717112956972,5.032067929876499,4436.241758241758,9.664835164835164,0.2795191603535303,0,182,,0.0953090204072671,-0.06338853770707888,0.3952575418129434
elastic/elasticsearch,99,0.09323618507576932,0.06791934974002882,0.0,194.40404040404042,6.05050505050505,0.3110870302203728,0,99,,0.09323618507576932,,
elixir-lang/elixir,439,0.08165323067847954,0.08666741196545606,0.698467978529775,105.99088838268793,2.712984054669704,0.29786966146514365,0,439,,0.08165323067847954,0.008082877611224809,0.8658949631496656
envoyproxy/envoy,469,0.07128997900833509,0.05967262679655629,1.4573006639167099,388.8230277185501,8.025586353944563,0.20347169236781232,0,469,,0.07128997900833509,-0.059070003087275016,0.20162144511115979
etcd-io/etcd,951,0.09187099729598527,0.08666741196545606,1.781555688533411,105.12513144058886,4.77707676130389,0.3179606121853853,0,951,,0.09187099729598527,-0.006615752742726786,0.8385469980134895
excalidraw/excalidraw,271,0.10188982519375295,0.09200653914512297,0.35825115941400004,694.5166051660517,8.933579335793358,0.31661466902643487,0,271,,0.10188982519375295,-0.16255653203294085,0.007329133964906959
facebook/react,492,0.08532727185974012,0.06692218403710075,0.6812883318184109,272.380081300813,7.276422764227642,0.26735706418540545,0,492,,0.08532727185974012,-0.056494109805127576,0.2109666745963636
fastapi/fastapi,622,0.10563368360710455,0.08666741196545606,5.226926289102685,687.4244372990354,10.691318327974276,0.31361699576260094,0,622,,0.10563368360710455,-0.27918350861713437,1.3385171173198526e-12
flutter/flutter,433,0.08143570267497065,0.08666741196545606,13.503439454959688,89.06928406466513,2.995381062355658,0.29364347125115975,0,433,,0.08143570267497065,-0.16801935855395064,0.0004461857255909474
getmaxun/maxun,118,0.09951474258645539,0.09308308832999766,0.23408702380455926,528.4661016949152,6.0508474576271185,0.336040663153787,0,118,,0.09951474258645539,0.023488298651842144,0.8006801521456467
ggerganov/llama.cpp,485,0.07994258058120161,0.08360962504545397,4.25544476566651,512.0494845360824,4.65979381443299,0.2714448771174044,0,485,,0.07994258058120161,-0.021839576990505975,0.6313817435676584
godotengine/godot,801,0.08623975230346878,0.08385199665958311,13.25093927546292,245.04993757802745,7.0411985018726595,0.2727345452397038,0,801,,0.08623975230346878,-0.09845066023232288,0.00529084397002365
grafana/grafana,827,0.08534025703215263,0.07152151980192553,0.8083315012461078,1623.4207980652961,7.50665054413543,0.2637415617786158,0,827,,0.08534025703215263,-0.08958587058614231,0.009949976361274815
hashicorp/terraform,893,0.08812559183482138,0.08597632136196443,1.4000088244093372,529.6394176931691,7.437849944008959,0.2764889254801069,0,893,,0.08812559183482138,0.01943548785537803,0.5618916773457203
hashicorp/vault,77,0.0864422843894841,0.06521517598903784,0.92010495499545,235.42857142857142,7.103896103896104,0.26047231225542483,0,77,,0.0864422843894841,-0.06754009090550597,0.5594658036994952
haskell/cabal,100,0.13013437632153999,0.12317432695155535,0.0,134.02,7.46,0.4443571109956008,0,100,,0.13013437632153999,,
huggingface/transformers,288,0.1036008262314338,0.08666741196545606,5.608956442446957,1194.920138888889,9.940972222222221,0.3125585649493474,0,288,,0.1036008262314338,-0.17865415747173669,0.002340798933077512
kubernetes/kubernetes,1171,0.10019788074657732,0.08666741196545606,0.7266625050514348,708.2860802732707,9.111870196413323,0.30787550198099783,0,1171,,0.10019788074657732,-0.04055359526850865,0.16549437852112855
langchain-ai/langchain,738,0.08773978689962518,0.08666741196545606,0.6418984205375738,236.81165311653118,4.43360433604336,0.30501394363419837,0,738,,0.08773978689962518,-0.13686243749145396,0.0001920232225851
langflow-ai/langflow,46,0.0860010888425583,0.08428694385152706,2.526000491824709,851.6086956521739,7.086956521739131,0.27157544816833523,0,46,,0.0860010888425583,-0.40463236175828476,0.00528374487083696
liam-hq/liam,307,0.10551553110986739,0.10600125210158223,3.945767021985713,266.0586319218241,6.368078175895765,0.35712539023398127,0,307,,0.10551553110986739,-0.21710243110022565,0.0001259456088281429
lm-sys/FastChat,1,0.12294517477622592,0.12294517477622592,0.0,16.0,2.0,0.47058823529411764,0,1,,0.12294517477622592,,
lobehub/lobe-chat,253,0.0970545298891922,0.07136721913935022,5.257832130238944,1557.9367588932807,17.68774703557312,0.20903551568415737,0,253,,0.0970545298891922,0.0788554343023982,0.21129636791649972
medplum/medplum,619,0.08202641343845037,0.06111309857294973,1.6548300417081048,458.16155088852986,8.911147011308563,0.2376821631833939,0,619,,0.08202641343845037,-0.11328984128208802,0.004772346758277296
mendableai/firecrawl,517,0.08408232359297942,0.08013364288767216,0.06567113446372244,305.9342359767892,4.781431334622824,0.28699698214161495,334,183,0.08609338264522018,0.08041186608779681,-0.013839177536253742,0.7535791171638548
microsoft/vscode,1352,0.0830971914639766,0.08010221834399692,0.15009483958666137,246.8343195266272,4.195266272189349,0.2890290098925272,0,1352,,0.0830971914639766,-0.055504869914608436,0.04129312177635764
milvus-io/milvus,374,0.07942420543797331,0.07612605568666336,0.9805346482923611,646.812834224599,8.494652406417112,0.23128210288457154,0,374,,0.07942420543797331,-0.12499819984732347,0.015573861407419173
mlflow/mlflow,571,0.07091270673407359,0.05032618120749278,0.7223280278273023,513.4133099824869,6.8756567425569175,0.2136440098506223,0,571,,0.07091270673407359,-0.11457965743382004,0.0061255707174080205
n8n-io/n8n,754,0.07467079250605252,0.06120367170174862,0.43623134366529154,537.2095490716181,7.871352785145889,0.21857128050242525,0,754,,0.07467079250605252,-0.0761970321907612,0.036450196952259054
nats-io/nats-server,354,0.06475328227222986,0.056762115410811206,1.852172901178833,235.28248587570621,4.497175141242938,0.2131249844097404,0,354,,0.06475328227222986,-0.06776754431542145,0.2033760179031712
nestjs/nest,1221,0.12344977563236086,0.11909355151214447,0.0010131159055456512,311.5323505323505,8.564291564291564,0.4057978625322061,0,1221,,0.12344977563236086,-0.01939090081081392,0.49844261292959574
nocodb/nocodb,1307,0.09545759996402317,0.08666741196545606,0.26244233618712504,1070.6312165263964,9.825554705432287,0.28141349765212276,0,1307,,0.09545759996402317,-0.04392795625385418,0.11243335352515232
